f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,Decision
0.54187,0.28588,0.70019,0.066544,0.32682,0.82547,0.55233,0.54216,0.22572,0.72855,0.89188,0.34857,0.75689,0.54493,yes
0.5415,0.29194,0.67622,0.060778,0.37369,0.82265,0.57553,0.49909,0.22684,0.71121,0.89158,0.34888,0.79483,0.53176,yes
0.53015,0.26137,0.70983,0.066547,0.30827,0.80889,0.63633,0.50716,0.25646,0.72381,0.8917,0.33689,0.85232,0.45436,yes
0.5255,0.29737,0.70308,0.066489,0.31268,0.82861,0.62172,0.49719,0.2844,0.72068,0.8918,0.31042,0.74444,0.37872,yes
0.53802,0.30753,0.70526,0.066514,0.30205,0.8552,0.55918,0.50293,0.27523,0.72551,0.89202,0.2945,0.80104,0.40293,yes
0.53245,0.271,0.71538,1,0.31034,0.81185,0.65817,0.52731,0.22082,0.72742,0.89184,0.32462,0.72639,0.51895,yes
0.51317,0.2516,0.73388,0.06619,0.30276,0.80291,0.64005,0.50903,0.20857,0.70453,0.89189,0.33094,0.84683,0.43855,yes
0.50848,0.25534,0.76741,0.065739,0.27082,0.80229,0.65017,0.52506,0.19954,0.71118,0.8919,0.32848,0.76432,0.50924,yes
0.5237,0.33142,0.74953,0.066279,0.37995,0.77686,0.63446,0.49594,0.22507,0.71149,0.89199,0.331,0.84988,0.43745,yes
0.53546,0.31012,0.70834,0.066547,0.32727,0.84072,0.5998,0.53254,0.22433,0.73025,0.89202,0.31379,0.7208,0.57134,yes
0.52416,0.2811,0.69623,0.066522,0.31474,0.79662,0.59326,0.53171,0.19261,0.71674,0.89181,0.30526,0.7413,0.51652,yes
0.52643,0.26478,0.70396,0.066526,0.31274,0.78584,0.61562,0.50453,0.22629,0.71745,0.8919,0.33257,0.83796,0.48636,yes
0.52743,0.27724,0.70532,0.066458,0.31208,0.82264,0.58761,0.50899,0.22243,0.723,0.89199,0.30651,0.70916,0.61917,yes
0.5249,0.28124,0.69979,0.065471,0.32506,0.82543,0.59958,0.54403,0.22322,0.73151,0.89174,0.32074,0.71916,0.47416,yes
0.45974,0.28776,0.70681,0.065747,0.37627,0.84165,0.61099,0.51672,0.23439,0.72649,0.89191,0.30899,0.74453,0.46638,yes
0.54083,0.29793,0.70635,0.066553,0.34046,0.84369,0.66531,0.50425,0.25298,0.7295,0.89099,0.28604,0.78194,0.54808,yes
0.54322,0.29678,0.70306,0.066549,0.32584,0.8565,0.55042,0.4653,0.28224,0.70317,0.89191,0.33771,0.7689,0.55305,yes
0.54611,0.30962,0.69997,0.30155,0.4021,0.84146,0.62322,0.49624,0.27362,0.71955,0.89183,0.32975,0.75993,0.63222,yes
0.54272,0.2836,0.70264,0.066544,0.3093,0.74325,0.7306,0.51666,0.23253,0.72507,0.89199,0.31518,0.85504,0.45473,yes
